Document ID,Agency ID,Docket ID,Tracking Number,Document Type,Posted Date,Is Withdrawn?,Federal Register Number,FR Citation,Title,Comment Start Date,Comment Due Date,Allow Late Comments,Comment on Document ID,Effective Date,Implementation Date,Postmark Date,Received Date,Author Date,Related RIN(s),Authors,CFR,Abstract,Legacy ID,Media,Document Subtype,Exhibit Location,Exhibit Type,Additional Field 1,Additional Field 2,Topics,Duplicate Comments,OMB/PRA Approval Number,Page Count,Page Length,Paper Width,Special Instructions,Source Citation,Start End Page,Subject,First Name,Last Name,City,State/Province,Zip/Postal Code,Country,Organization Name,Submitter Representative,Representative's Address,"Representative's City, State & Zip",Government Agency,Government Agency Type,Comment,Category,Restrict Reason Type,Restrict Reason,Reason Withdrawn,Content Files,Attachment Files,"Display Properties (Name, Label, Tooltip)"
"USCG-2018-0538-0018","USCG","USCG-2018-0538",,"Rule",2023-12-28T05:00Z,false,"2023-28112","88 FR 89595","User Fees for Inspected Towing Vessels",,,false,,,,,2023-12-28T05:00Z,,,,"46 CFR Part 2",,,,,,,,,"Marine Safety,Reporting and Recordkeeping Requirements,Vessels",,,14,,,,,"89595 - 89608",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2018-0538-0018/content.pdf,https://downloads.regulations.gov/USCG-2018-0538-0018/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2020-0075-0023","USCG","USCG-2020-0075194",,"Rule",2023-04-26T04:00Z,false,"2023-08745","88 FR 25285","Update to Electrical Engineering Regulations; Correction",,,false,,,,,2023-04-26T04:00Z,,,,"46 CFR Part 113",,,,,,,,,"Communications Equipment,Fire Prevention,Incorporation by Reference,Vessels",,,2,,,,,"25285 - 25286",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2020-0075-0023/content.pdf,https://downloads.regulations.gov/USCG-2020-0075-0023/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2020-0107-0022","USCG","USCG-2020-0107",,"Rule",2023-08-04T04:00Z,false,"2023-16655","88 FR 51737","Survival Craft Equipment-Update To Type Approval Requirements; Correction",,,false,,,,,2023-08-04T04:00Z,,,,"46 CFR Part 169",,,,,,,,,"Fire Prevention,Incorporation by Reference,Marine Safety,Reporting and Recordkeeping Requirements,Schools,Vessels",,,1,,,,,"51737 - 51737",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2020-0107-0022/content.pdf,https://downloads.regulations.gov/USCG-2020-0107-0022/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2020-0492-0011","USCG","USCG-2020-0492",,"Rule",2023-10-03T04:00Z,false,"2023-21560","88 FR 67966","Towing Vessel Firefighting Training",,,false,,,,,2023-10-03T04:00Z,,,,"46 CFR Part 11",,,,,,,,,"Penalties,Reporting and Recordkeeping Requirements,Schools,Seamen",,,19,,,,,"67966 - 67984",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2020-0492-0011/content.pdf,https://downloads.regulations.gov/USCG-2020-0492-0011/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2021-0473-0003","USCG","USCG-2021-0473",,"Rule",2023-04-14T04:00Z,false,"2023-07853","88 FR 22913","Safety Zone; Constitution Spar Outer Continental Shelf Facility, Green Canyon Block 680, Gulf of Mexico",,,false,,,,,2023-04-14T04:00Z,,,,"33 CFR Part 147",,,,,,,,,"Continental Shelf,Marine Safety,Navigation (Water)",,,2,,,,,"22913 - 22914",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2021-0473-0003/content.pdf,https://downloads.regulations.gov/USCG-2021-0473-0003/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2021-0474-0003","USCG","USCG-2021-0474",,"Rule",2023-04-11T04:00Z,false,"2023-07585","88 FR 21468","Safety Zone; Lucius Spar Outer Continental Shelf Facility, Keathley Canyon Block 875, Gulf of Mexico",,,false,,,,,2023-04-11T04:00Z,,,,"33 CFR Part 147",,,,,,,,,"Continental Shelf,Marine Safety,Navigation (Water)",,,3,,,,,"21468 - 21470",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2021-0474-0003/content.pdf,https://downloads.regulations.gov/USCG-2021-0474-0003/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2021-0475-0003","USCG","USCG-2021-0475",,"Rule",2023-04-11T04:00Z,false,"2023-07594","88 FR 21474","Safety Zone; Horn Mountain Spar Outer Continental Shelf Facility, Mississippi Canyon Block 127, Gulf of Mexico",,,false,,,,,2023-04-11T04:00Z,,,,"33 CFR Part 147",,,,,,,,,"Continental Shelf,Marine Safety,Navigation (Water)",,,3,,,,,"21474 - 21476",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2021-0475-0003/content.pdf,https://downloads.regulations.gov/USCG-2021-0475-0003/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2022-0071-0003","USCG","USCG-2022-0071",,"Rule",2023-06-12T04:00Z,false,"2023-12466","88 FR 37988","State Enforcement of Inland Navigation Rules",,,false,,,,,2023-06-12T04:00Z,,,,"33 CFR Part 83",,,,,,,,,"Navigation (Water),Waterways",,,5,,,,,"37988 - 37992",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2022-0071-0003/content.pdf,https://downloads.regulations.gov/USCG-2022-0071-0003/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2022-0222-2361","USCG","USCG-2022-0222",,"Rule",2023-06-08T04:00Z,false,"2023-12270","88 FR 37470","Drawbridge Operations: Okeechobee Waterway, Stuart, FL",2023-06-08T04:00Z,2023-08-05T03:59:59Z,false,,,,,2023-06-08T04:00Z,,,,"33 CFR Part 117",,,,,,,,,,,,2,,,,,"37470 - 37471",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2022-0222-2361/content.pdf,https://downloads.regulations.gov/USCG-2022-0222-2361/content.htm",,"pageCount, Page Count, Number of pages In the content file"
"USCG-2022-0222-2733","USCG","USCG-2022-0222",,"Rule",2023-08-11T04:00Z,false,"2023-17222","88 FR 54487","Drawbridge Operation Regulation; Okeechobee Waterway, Stuart, FL",2023-08-11T04:00Z,2023-10-16T03:59:59Z,false,,,,,2023-08-11T04:00Z,,,,"33 CFR Part 117",,,,,,,,,,,,2,,,,,"54487 - 54488",,,,,,,,,,,,,,,,,,,"https://downloads.regulations.gov/USCG-2022-0222-2733/content.pdf,https://downloads.regulations.gov/USCG-2022-0222-2733/content.htm",,"pageCount, Page Count, Number of pages In the content file"
